id,fleetId,rideHailManagerId,vehicleType,initialLocationX,initialLocationY,shifts,geofencePolygon
7,South SL Co: East,GlobalRHM,micro,425824.339883216,4486370.28258574,{14400:87300},"POLYGON ((423378.3414484365 4491377.605297341, 424672.3101266235 4491436.800359805, 425339.7037192809 4491328.75679846, 426182.633572309 4491334.840400547, 426776.2630989143 4491111.84606241, 427656.627864363 4490480.748785694, 428526.4907937716 4490255.198084929, 428567.3166603832 4489965.244841152, 428517.0324122726 4487750.206807477, 429167.9309991354 4487396.411377735, 429764.0039506423 4487390.779974157, 430330.1891769869 4487298.575052762, 430516.6293599672 4487021.647949374, 430033.1763205628 4486635.085597256, 428554.4054453477 4482534.288923967, 424139.6403063103 4480476.013861578, 424351.3929615683 4482706.064108172, 422612.7273874276 4483404.98340723, 422553.8094770568 4484738.684211105, 422102.4591729917 4486090.718946035, 422449.1444059148 4488665.221927427, 423118.9338324693 4490178.670105215, 423496.2006840947 4490116.877807743, 423378.3414484365 4491377.605297341))"
1,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
2,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
3,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
4,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
5,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
6,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
7,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
8,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
9,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
10,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
11,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
12,South SL Co: West,GlobalRHM,micro,418012.641812136,4485836.17951726,{14400:87300},"POLYGON ((424555.6258609531 4491394.552522422, 424615.696990811 4490148.915356857, 424533.2611241257 4487745.968653125, 424867.0476732485 4487684.669946145, 424920.1021885125 4487177.213737867, 424826.5994439314 4486555.317214329, 424618.2135506904 4486079.391062767, 424584.2268331225 4484152.833859884, 424613.6884761246 4482746.892659435, 423787.211824668 4481595.776948742, 422663.4493334984 4479867.729546633, 421128.6421074391 4479245.796832296, 419005.731645367 4479456.958957371, 416177.6518027944 4481677.184294936, 414756.2404706336 4480808.987246518, 413043.869445859 4481234.599446102, 411489.5341947681 4482702.323089341, 410624.1245118224 4485770.146453696, 411029.5296981728 4486837.320212613, 410909.539872863 4488967.839146746, 411852.491469471 4490028.195422286, 415160.993848577 4492089.03401165, 415754.9088533022 4491923.070030637, 418050.4756616959 4491883.008083901, 418167.902787237 4490665.686789062, 421393.9177458947 4490616.511023437, 422842.8047783484 4490181.521191924, 423540.6906720051 4490203.291678634, 423363.8106846925 4491377.754627096, 424555.6258609531 4491394.552522422))"
